"year","hydro","nuclear","solar","wind","coal","gas","oil","biofuel","other_renew"
1990,5449.752,5367.253,1.08,10.088,24828.846,18072.139,34623.53,85.838,313.476
1991,5522.51,5455.008,1.404,11.35,23834.051,17268.886,33471.946,91.546,327.615
1992,5560.312,5721.214,1.302,13.146,24669.939,18482.881,34894.815,92.961,350.71
1993,5941.618,5928.494,1.549,15.814,24838.904,19031.496,35384.87,100.171,364.012
1994,5955.946,6051.834,1.668,19.745,25003.458,19160.504,36209.716,109.196,378.428
1995,6346.126,6352.162,1.782,22.906,25318.959,20183.34,37231.342,114.811,394.39
1996,6409.5,6574.141,1.958,25.457,25941.013,21162.072,38107.042,109.934,404.598
1997,6540.703,6534.451,2.103,33.11,25852.468,21025.787,39051.162,114.558,434.351
1998,6577.713,6647.138,2.31,43.976,25664.076,21370.958,39185.156,115.824,455.179
1999,6600.981,6899.637,2.546,58.579,25779.53,21987.506,39881.121,117.77,476.013
2000,6735.73,7056.649,3.094,86.561,26664.232,23417.859,40447.667,114.331,496.845
2001,6513.539,7220.297,3.836,105.171,27077.32,23666.325,40743.212,114.345,507.963
2002,6583.038,7278.023,4.801,142.443,28135.75,24380.303,41057.165,135.087,543.09
2003,6508.724,7085.189,6.105,170.383,30641.143,25008.143,41940.14,153.697,569.864
2004,6963.479,7362.828,7.996,229.181,32780.677,25941.501,43481.771,188.774,611.27
2005,7158.538,7333.087,11.116,278.666,35274.774,26642.38,43972.716,228.328,659.405
2006,7405.281,7379.653,15.177,353.052,37143.437,27332.489,44473.042,289.79,698.056
2007,7481.341,7180.242,20.483,451.008,39320.539,28428.129,44985.724,383.857,754.841
2008,7901.906,7112.603,33.119,579.644,39859.505,29138.465,44584.14,523.684,802.146
2009,7831.869,6965.071,54.65,719.847,39299.902,28457.023,43662.755,597.898,858.683
2010,8178.913,7103.468,87.191,897.783,41119.428,30740.492,45106.844,685.602,955.239
2011,8298.552,6758.583,167.416,1134.203,43116.907,31476.587,45661.554,714.249,997.579
2012,8606.149,6254.132,257.205,1357.454,43303.799,32301.942,46224.104,728.558,1070.439
2013,8921.366,6271.066,352.791,1614.754,44107.743,32834.254,46727.921,774,1146.233
2014,9088.737,6352.825,498.753,1780.866,44041.121,33007.866,47018.116,830.971,1227.465
2015,8849.967,6416.756,641.04,2079.051,42944.321,33305.035,47507.111,858.822,1308.284
2016,9101.51,6490.343,810.995,2395.43,42255.863,34109.134,48513.439,890.487,1322.643
2017,9167.535,6533.727,1097.404,2821.104,42402.395,35051.462,49140.815,913.261,1401.759
2018,9350.668,6637.502,1420.519,3118.101,42959.758,37030.022,49720.716,978.992,1469.988
2019,9447.065,6837.927,1743.052,3493.087,42656.953,37836.418,50145.985,1037.937,1552.67
