"Year","Solar","Biofuel","Wind","Coal","Nuclear","Other_renewables","Gas","Oil","Hydropower"
1990,1.08,85.838,10.088,24828.846,5367.253,313.476,18072.139,34623.53,5449.752
1991,1.404,91.546,11.35,23834.051,5455.008,327.615,17268.886,33471.946,5522.51
1992,1.302,92.961,13.146,24669.939,5721.214,350.71,18482.881,34894.815,5560.312
1993,1.549,100.171,15.814,24838.904,5928.494,364.012,19031.496,35384.87,5941.618
1994,1.668,109.196,19.745,25003.458,6051.834,378.428,19160.504,36209.716,5955.946
1995,1.782,114.811,22.906,25318.959,6352.162,394.39,20183.34,37231.342,6346.126
1996,1.958,109.934,25.457,25941.013,6574.141,404.598,21162.072,38107.042,6409.5
1997,2.103,114.558,33.11,25852.468,6534.451,434.351,21025.787,39051.162,6540.703
1998,2.31,115.824,43.976,25664.076,6647.138,455.179,21370.958,39185.156,6577.713
1999,2.546,117.77,58.579,25779.53,6899.637,476.013,21987.506,39881.121,6600.981
2000,3.094,114.331,86.561,26664.232,7056.649,496.845,23417.859,40447.667,6735.73
2001,3.836,114.345,105.171,27077.32,7220.297,507.963,23666.325,40743.212,6513.539
2002,4.801,135.087,142.443,28135.75,7278.023,543.09,24380.303,41057.165,6583.038
2003,6.105,153.697,170.383,30641.143,7085.189,569.864,25008.143,41940.14,6508.724
2004,7.996,188.774,229.181,32780.677,7362.828,611.27,25941.501,43481.771,6963.479
2005,11.116,228.328,278.666,35274.774,7333.087,659.405,26642.38,43972.716,7158.538
2006,15.177,289.79,353.052,37143.437,7379.653,698.056,27332.489,44473.042,7405.281
2007,20.483,383.857,451.008,39320.539,7180.242,754.841,28428.129,44985.724,7481.341
2008,33.119,523.684,579.644,39859.505,7112.603,802.146,29138.465,44584.14,7901.906
2009,54.65,597.898,719.847,39299.902,6965.071,858.683,28457.023,43662.755,7831.869
2010,87.191,685.602,897.783,41119.428,7103.468,955.239,30740.492,45106.844,8178.913
2011,167.416,714.249,1134.203,43116.907,6758.583,997.579,31476.587,45661.554,8298.552
2012,257.205,728.558,1357.454,43303.799,6254.132,1070.439,32301.942,46224.104,8606.149
2013,352.791,774,1614.754,44107.743,6271.066,1146.233,32834.254,46727.921,8921.366
2014,498.753,830.971,1780.866,44041.121,6352.825,1227.465,33007.866,47018.116,9088.737
2015,641.04,858.822,2079.051,42944.321,6416.756,1308.284,33305.035,47507.111,8849.967
2016,810.995,890.487,2395.43,42255.863,6490.343,1322.643,34109.134,48513.439,9101.51
2017,1097.404,913.261,2821.104,42402.395,6533.727,1401.759,35051.462,49140.815,9167.535
2018,1420.519,978.992,3118.101,42959.758,6637.502,1469.988,37030.022,49720.716,9350.668
2019,1743.052,1037.937,3493.087,42656.953,6837.927,1552.67,37836.418,50145.985,9447.065
